所属动漫,视频标题,播放量,弹幕数,收藏数,UP主,标签,bvid,url
第一序列,"大姐你可不要乱撩啊会死的 #<em class=""keyword"">第一序列</em>",27517,1,54,十七爱动漫剪辑,"影视剪辑,画江湖之不良人,第一序列,不良人第五季",BV19w411Y7vS,https://www.bilibili.com/video/BV19w411Y7vS
第一序列,"<em class=""keyword"">第一序列</em>超燃合集，越往后越燃！！！",228,0,0,王城北西门,"第一,电影,科幻,怪兽,电影剪辑,序列,第一序列,必剪创作",BV1a34y1G7Js,https://www.bilibili.com/video/BV1a34y1G7Js
第一序列,"《<em class=""keyword"">第一序列</em>》后期真的崩了吗？（一）爽文的尽头是虚无",220,0,0,sp只吃饭不洗碗,"剧情,奇幻,影视剪辑,爽文,第一序列,必剪创作,人人都能聊影视,人人都能聊影视2.0",BV1rJ4m137Nv,https://www.bilibili.com/video/BV1rJ4m137Nv
第一序列,"《<em class=""keyword"">第一序列</em>》后期真的崩了吗？（一）爽文的尽头是虚无",220,0,0,sp只吃饭不洗碗,"剧情,奇幻,影视剪辑,爽文,第一序列,必剪创作,人人都能聊影视,人人都能聊影视2.0",BV1rJ4m137Nv,https://www.bilibili.com/video/BV1rJ4m137Nv
第一序列,"一口气看完【<em class=""keyword"">第一序列</em>】多少年后人类文明成为废土，人类文明得以苟延残喘！主角觉醒系统建立秩序！",10281,104,72,一部剧一个故事,"废土,人类,系统,觉醒,影视剪辑,秩序,一口气看完,影评杂谈,第一序列",BV1Qj411k7hU,https://www.bilibili.com/video/BV1Qj411k7hU
第一序列,"（<em class=""keyword"">第一序列</em>配音自配）不要让时代的悲哀成为你的悲哀",706,0,8,不方的汐汐,"配音,第一序列,一分钟高能配音,动画嘉年华2024·无限同人",BV1K8epeHENF,https://www.bilibili.com/video/BV1K8epeHENF
第一序列,"双A就是最吊的，上来就是夫妻双打【<em class=""keyword"">第一序列</em>】",29780,133,68,拖延症退退退,"MAD,AMV,动漫,搞笑,国漫,双A,第一序列,任小粟,杨小瑾,秋季动漫打卡计划",BV12P411t7HC,https://www.bilibili.com/video/BV12P411t7HC
第一序列,"<em class=""keyword"">第一序列</em>|第五回",847,0,0,疆南小伙,"短片,电影剪辑,第一序列",BV1hc411F7MH,https://www.bilibili.com/video/BV1hc411F7MH
第一序列,"《<em class=""keyword"">第一序列</em>》后期真的崩了吗？（一）爽文的尽头是虚无",220,0,0,sp只吃饭不洗碗,"剧情,奇幻,影视剪辑,爽文,第一序列,必剪创作,人人都能聊影视,人人都能聊影视2.0",BV1rJ4m137Nv,https://www.bilibili.com/video/BV1rJ4m137Nv
第一序列,"【<em class=""keyword"">第一序列</em>&amp;任小粟】论搞笑任小粟是认真的",1725,1,5,亵渎凡尘,"搞笑,国产,影视剪辑,第一序列,任小粟,必剪创作,《第一序列》超能力盲盒",BV1Em4y177ER,https://www.bilibili.com/video/BV1Em4y177ER
第一序列,"【任小粟七次感谢】<em class=""keyword"">第一序列</em>精彩桥段自配",582,0,6,不方的汐汐,"配音,第一序列,任小粟,七次感谢,一分钟高能配音,动画嘉年华2024·无限同人",BV1j5YuecE9s,https://www.bilibili.com/video/BV1j5YuecE9s
第一序列,"【<em class=""keyword"">第一序列</em>】一口气看个爽",28053,4,286,漫步爱人生,"2022夏季国产动画创作,MAD,一口气,第一序列,第一",BV1pW4y1b7o1,https://www.bilibili.com/video/BV1pW4y1b7o1
第一序列,"【<em class=""keyword"">第一序列</em>】大兴西北",9376,1,66,颜白听雪落,"第一序列,大兴西北,多音源,颜白,起点,会说话的肘子,起点同人,网文",BV1bf4y1Q7KC,https://www.bilibili.com/video/BV1bf4y1Q7KC
第一序列,"<em class=""keyword"">第一序列</em>",16,0,0,旅途O-o,"剪辑,经典电影,序列,第一序列,必剪创作",BV1xw411w7Ja,https://www.bilibili.com/video/BV1xw411w7Ja
第一序列,"【<em class=""keyword"">第一序列</em>】任小粟脑海里的宫殿",154,0,0,Papagyu,"宫殿,影视剪辑,第一序列",BV16m4y1V72f,https://www.bilibili.com/video/BV16m4y1V72f
