所属动漫,视频标题,播放量,弹幕数,收藏数,UP主,标签,bvid,url
白蛇：浮生,"直到文曲星下凡，<em class=""keyword"">法海</em>才知道自己错了，五百年的等待终是一场悲剧",752,0,3,琉星追剧,"悲剧,电影,文曲星,许仙,法海,白素贞,影视剪辑,白蛇：浮生,影视神仙剪刀手,B站好片有奖种草",BV1gNtJzfEHZ,https://www.bilibili.com/video/BV1gNtJzfEHZ
白蛇：浮生,"直到文曲星下凡，<em class=""keyword"">法海</em>才知道自己错了",2732,2,96,次元土木狗,"电影,文曲星,国漫,许仙,法海,白素贞,电影剪辑,影视剪辑,白蛇：浮生,B站好片有奖种草",BV1xmgPzAEmE,https://www.bilibili.com/video/BV1xmgPzAEmE
白蛇：浮生,“许宣和小白两人干柴烈火的发生了不可描述的事 &quot;,19357,5,208,羽弥漫剪,"国产动画,动画电影,白蛇,高燃混剪,白蛇：浮生,B站好片有奖种草,电影白蛇浮生",BV1XhVnzfENp,https://www.bilibili.com/video/BV1XhVnzfENp
白蛇：浮生,法海你满口的仁义道德，可是为什么偏偏就不能放过她们呢！,51209,1,1383,小渔剪辑Y,"许仙,小白,法海,白素贞,影视剪辑,小青,白蛇：浮生,B站好片有奖种草",BV1pyAyeaERC,https://www.bilibili.com/video/BV1pyAyeaERC
白蛇：浮生,法海你满口的仁义道德，可是为什么偏偏就不能放过她们呢！,51209,1,1383,小渔剪辑Y,"许仙,小白,法海,白素贞,影视剪辑,小青,白蛇：浮生,B站好片有奖种草",BV1pyAyeaERC,https://www.bilibili.com/video/BV1pyAyeaERC
白蛇：浮生,“ 许仙一命换一命，救回了等了自己几百年的白娘子 &quot;,402,0,0,peak漫剪,"动漫,国漫,必剪创作,白蛇：浮生,B站好片有奖种草,2025bilibili混剪大赛",BV15uXQYVEH3,https://www.bilibili.com/video/BV15uXQYVEH3
白蛇：浮生,文曲星星列出现的那一刻真帅啊，感觉就算看见这个法海也还会继续大开杀戮,88788,214,278,唯瑶影视,"爱情,国产动画,法海,电影剪辑,白蛇：浮生,B站好片有奖种草,春节档爆款接力赛",BV1FgNpePEkk,https://www.bilibili.com/video/BV1FgNpePEkk
白蛇：浮生,许仙：这次换我守护你！,764438,24,22276,夜空子,"爱情,动漫,电影,许仙,电影剪辑,必剪创作,白蛇：浮生,影视神仙剪刀手,神仙剪刀手6.0",BV1EMCXYhE49,https://www.bilibili.com/video/BV1EMCXYhE49
白蛇：浮生,许仙：这次换我守护你！,764438,24,22276,夜空子,"爱情,动漫,电影,许仙,电影剪辑,必剪创作,白蛇：浮生,影视神仙剪刀手,神仙剪刀手6.0",BV1EMCXYhE49,https://www.bilibili.com/video/BV1EMCXYhE49
白蛇：浮生,许仙：这次换我守护你！,764438,24,22276,夜空子,"爱情,动漫,电影,许仙,电影剪辑,必剪创作,白蛇：浮生,影视神仙剪刀手,神仙剪刀手6.0",BV1EMCXYhE49,https://www.bilibili.com/video/BV1EMCXYhE49
